0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:22:02 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:22:04 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 14785
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:22:04 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:22:54 +0530] "GET /Exam1/SubjectServlet?cid=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:22:54 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:22:54 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:22:58 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:22:59 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:22:59 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:23:12 +0530] "POST /Exam1/QuestionServlet HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:23:12 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:23:13 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 14785
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:23:13 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:29:42 +0530] "GET /Exam1/SubjectServlet?cid=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:29:42 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:29:42 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:29:46 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:29:49 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:29:49 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:31:30 +0530] "POST /Exam1/QuestionServlet HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:31:30 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:31:34 +0530] "GET /Exam1/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:31:34 +0530] "GET /Exam1/login_page.jsp HTTP/1.1" 200 6878
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:31:34 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
